text,keyphrases,is_problem
"UNIQLOでバズってたヘンリーネックTから半袖出たらしい

#UNIQLO #ユニクロ #夏服 #夏ファッション #ヘンリーネック #fyp #おすすめにのりたい #メンズファッション #着回しコーデ #lookbook ","[('夏ファッション', 0.6567), ('uniqloでバズってたヘンリーネックtから半袖出たらしい', 0.6331), ('着回しコーデ', 0.5939)]",False
"もうすぐ子供達の夏休みが始まりますねお出かけの準備できてる？
#着回し#メンズカジュアル #メンズカジュアルコーデ #メンズファッション #メンズコーデ #30代ファッション ","[('もうすぐ子供達の夏休みが始まりますねお出かけの準備できてる', 0.8861), ('メンズカジュアルコーデ', 0.5755), ('メンズファッション', 0.5272)]",False
韓国 #韓国コーデ #kpop #モテたい #かっこいい #ストリートファッション #koreanfashion #モテ男 #イケメン男子 #ストリートファッション #ストリートコーデ #モテ男 #イケメン男子  #韓国 #かんこくすきなひとと繋がりたい #韓国通販 #韓国購入品 #韓国トレンド #ストリート #コーデ #韓国好き ,"[('韓国コーデ', 0.616), ('韓国トレンド', 0.5953), ('韓国好き', 0.5912)]",False
"テテ　から学ぶ　
夏服4選　
#テテ #夏コーデ  #ootd ","[('夏コーデ', 0.7334), ('夏服4選', 0.68), ('テテ', 0.5047)]",False
#オーバーサイズ #コーデ #メンズファッション #ビッグサイズ #スタイリング,"[('スタイリング', 0.7285), ('メンズファッション', 0.6897), ('ビッグサイズ', 0.6416)]",False
"プチプラ服でモノトーンコーデ
@ユニクロ【公式】 #UNIQLO #ユニクロ #モノトーンコーデ #大人コーデ #メンズファッション ","[('プチプラ服でモノトーンコーデ', 0.7826), ('モノトーンコーデ', 0.661), ('メンズファッション', 0.5979)]",False
@うまに返信 カジュアルなタックインがカッコよくなる方法、俺が教えたろ。　#メンズコーデ　#メンズファッション,"[('カジュアルなタックインがカッコよくなる方法', 0.7923), ('メンズファッション', 0.7074), ('メンズコーデ', 0.6699)]",False
女子からデートに誘われるモテる男子の着こなし4選。#モテたい男子必見 #韓国男子 #メンズファッションコーデ #デート服メンズ ,"[('女子からデートに誘われるモテる男子の着こなし4選', 0.891), ('モテたい男子必見', 0.776), ('韓国男子', 0.6492)]",False
イケオジ40代コーデ#メンズファッション#40代#イケオジ#ユニクロ ,"[('イケオジ40代コーデ', 0.8859), ('イケオジ', 0.674), ('メンズファッション', 0.6699)]",False
"GUでこの夏活躍する最強服見つけたので紹介します！！✨️
┈┈┈┈┈┈┈┈┈┈┈┈┈┈
#gu#guコーデ #着回しコーデ #メンズファッション #プチプラ ","[('guでこの夏活躍する最強服見つけたので紹介します', 0.83), ('着回しコーデ', 0.6602), ('guコーデ', 0.5975)]",False
"2025年夏！今絶対に買うべきパンツを知ってますか？？？
#fashion #ファッション #ストリートシック #ノームコア #おすすめ ","[('2025年夏', 0.6279), ('今絶対に買うべきパンツを知ってますか', 0.5635), ('ファッション', 0.4821)]",False
急に30℃超えだしたけど、今なら夏の準備まだ間に合うから参考にしてねーーー！！！！☀️ #夏コーデ #1週間コーデ #カジュアルコーデ ,"[('今なら夏の準備まだ間に合うから参考にしてねーーー', 0.8575), ('夏コーデ', 0.674), ('1週間コーデ', 0.6329)]",False
"【今日何着てますか？】
渋谷でファッションインタビュー！
#ファッション解説 #ブランド解説 ","[('渋谷でファッションインタビュー', 0.8453), ('ファッション解説', 0.7765), ('今日何着てますか', 0.7037)]",False
"韓国カジュアルなGRLOOK1week໒꒱
ジンくんのライブ行けることになって幸せ-꒰∪´ɞ̴̶̷ ·̫ ɞ̴̶̷ ꒱♡#grl #grlコーデ #grl購入品 #グレイル #おすすめ #インスタ #一重女子 #コーデ紹介 #韓国ファッション #骨格ウェーブ #夏コーデ #デニムコーデ #スニーカー女子 ","[('ジンくんのライブ行けることになって幸せ', 0.7302), ('韓国ファッション', 0.6722), ('韓国カジュアルなgrlook1week໒', 0.5735)]",False
"【みんな持ってるチェックシャツ簡単アレンジ3選】
長袖のチェックシャツは
これからの時期もまだまだ使える！！
私がオススメするアレンジ方法3選◎
よかったら保存して試してみてね
.
.
.
.
.
@WEGO公式 
#夏コーデ #夏服コーデ #howto #howto動画 #アレンジ動画 #アレンジ #チェックシャツ #シャツ #シャツコーデ #デニム #タンクトップ #デニムパンツ #バレルレッグ #スニーカー女子 #カジュアルコーデ #アラサーファッション #アラサー女子 #カジュアルファッション #レイヤーカット #大人カジュアル #大人カジュアルコーデ #大人女子 #ショートヘア #スニーカーコーデ #骨格ウェーブコーデ #アラサーコーデ #シンプルコーデ #160cm #160cmコーデ #wego_ootd","[('アレンジ', 0.301), ('アレンジ動画', 0.296), ('バレルレッグ', 0.2912)]",False
何曜日が好みかコメントで教えてꔛ#骨格ウェーブ #低身長 #低身長コーデ #ギャルコーデ #ファッション #ootd #冬コーデ #毎日ファッション #fyp #毎日更新 #1週間コーデ #デニムコーデ ,"[('何曜日が好みかコメントで教えてꔛ', 0.757), ('毎日ファッション', 0.698), ('デニムコーデ', 0.695)]",False
"＼今日好き発✨ナチュかわ最強女子／
平松想乃の春夏コーデ10選

ナチュラルでリアルにマネしたくなる

今日好き出身・平松想乃ちゃんの春夏コーデ10選をまとめました

✔︎ 淡色×ゆるシルエットが圧倒的かわいさ

✔︎ ワンピ・ミニスカ・オーバーサイズの神バランス

✔︎ 女子が憧れる“雰囲気モテ”の代表格

「◯枚目、ガチで彼女感強すぎ…」

「この服装、絶対流行る」
って思ったLOOK、コメントで番号教えてね

ブランド知りたい人も気軽に聞いてください✨
@平松想乃／ひらまつその 
#ootd #outfit #平松想乃 ","[('平松想乃の春夏コーデ10選', 0.5205), ('平松想乃ちゃんの春夏コーデ10選をまとめました', 0.4846), ('平松想乃', 0.4733)]",False
本当は教えたくないんだけど...#y2kファッション #y2kコーデ ,"[('y2kファッション', 0.7529), ('y2kコーデ', 0.7489), ('本当は教えたくないんだけど', 0.7332)]",False
"GRLでできる✨韓国カジュアルコーデ

みんなはどれが好き？

#grl #韓国ファッション #韓国カジュアル ","[('韓国カジュアルコーデ', 0.8429), ('韓国カジュアル', 0.8035), ('韓国ファッション', 0.7388)]",False
ルセラのみんなが履いてるようなこういうパンツ欲しくない!?#ルセラ#ルセラフィム#y2kファッション #y2kコーデ ,"[('ルセラのみんなが履いてるようなこういうパンツ欲しくない', 0.8017), ('ルセラフィム', 0.7379), ('y2kファッション', 0.5947)]",False
こういうコーデ好きな人集まれ〜!!#韓国ファッション #韓国コーデ#y2kコーデ#y2kファッション ,"[('韓国ファッション', 0.7821), ('韓国コーデ', 0.7789), ('こういうコーデ好きな人集まれ', 0.723)]",False
夏コーデまとめ気になるのはありますか？#カジュアルコーデ #春夏コーデ #夏服 #韓国ファッション #毎日コーデ #私服 #可愛い女の子 #おすすめ #コーデ #高身長コーデ #ootd ,"[('夏コーデまとめ気になるのはありますか', 0.8055), ('春夏コーデ', 0.7575), ('夏服', 0.6898)]",False
デニムをいっぱい使ってコーデ組みました❗️参考になれたらうれしいです#SHEIN #夏服 #夏服コーデ #コーディネート #韓国#ファッション#リクエスト #08 ,"[('デニムをいっぱい使ってコーデ組みました', 0.7339), ('夏服コーデ', 0.6748), ('参考になれたらうれしいです', 0.6448)]",False
"プチプラ可愛いを集めました

#韓国ブランド
#プチプラブランド 
#韓国ファッション 
@60% - SIXTYPERCENT ","[('プチプラブランド', 0.7226), ('韓国ブランド', 0.7175), ('韓国ファッション', 0.7096)]",False
本当は教えたくないサイトばっかり1万円以下で抑えられるから学生でも買いやすい!!#韓国ファッション #プチプラ #韓国ブランド紹介 #韓国通販 #韓国ストリート #おすすめ ,"[('韓国ブランド紹介', 0.7517), ('韓国ファッション', 0.729), ('本当は教えたくないサイトばっかり1万円以下で抑えられるから学生でも買いやすい', 0.7058)]",False
"久々すぎる投稿
引越し準備ギリギリすぎて、私のJは偽物だって痛感したんだけど、改めてみんなの好きなmbtiとその理由聞きたくなった‼︎
.
.
#低身長コーデ #骨格ウェーブ #150cmコーデ #夏コーデ #grl購入品 #zozotown #1週間コーデ #韓国ガーリー ","[('引越し準備ギリギリすぎて', 0.7373), ('韓国ガーリー', 0.6637), ('久々すぎる投稿', 0.6346)]",False
"韓国のadidasが可愛すぎた
明洞、江南、現代ソウル店巡ってきたよ〜！
店舗によって置いてある商品、在庫状況全然違うから何店舗かいくのおすすめだよ
みんなは狙ってるアイテムある?

#韓国旅行#渡韓vlog#韓国adidas#adidas#女子旅#韓国ファッション ","[('韓国のadidasが可愛すぎた', 0.6914), ('韓国adidas', 0.6355), ('韓国ファッション', 0.6257)]",False
"マジで教えたくなかった
韓国ストリートブランド

#おすすめ #保存 #韓国 #fashion ","[('韓国ストリートブランド', 0.7889), ('マジで教えたくなかった', 0.7106), ('韓国', 0.557)]",False
"脚を出さない夏コーデです
みなさん参考にしてくださいね
#韓国女子 #韓国ファッション #夏コーデ ","[('脚を出さない夏コーデです', 0.8428), ('夏コーデ', 0.6804), ('みなさん参考にしてくださいね', 0.6328)]",False
"着れば韓国アイドルなれるかも、、

#ダンス #ダンサー #ダンサー女子 #ダンサーファッション #ダンスファッション #ダンスコーデ #衣装 #ダンス衣装 #ダンス女子 #韓国 #韓国ファッション #韓国ストリート #韓国ストリートファッション #韓国ストリートコーデ #韓国ストリート通販 #ファッション通販 #通販サイト #通販サイトおすすめ #ダンスファッション通販 #スウェットコーデ ","[('韓国ストリートファッション', 0.6273), ('韓国ストリートコーデ', 0.5996), ('韓国ストリート', 0.5891)]",False
男女ウケどっちも良さそうなおすすめブランド✍#おすすめ #きれいめカジュアル #大人カジュアル #シンプルコーデ #骨スト #低身長コーデ #骨格ストレート #デートコーデ #夏コーデ ,"[('男女ウケどっちも良さそうなおすすめブランド', 0.7896), ('夏コーデ', 0.5937), ('低身長コーデ', 0.5262)]",False
夏もやっぱりチェックシャツが気分~#カジュアルコーデ #シャツコーデ #毎日ファッション #おすすめ #fyp #夏服 #韓国コーデ ,"[('夏もやっぱりチェックシャツが気分', 0.8298), ('カジュアルコーデ', 0.6503), ('毎日ファッション', 0.6454)]",False
"こんな細く見えるTシャツに出会ったの初めてですわい
#CPCM #夏コーデ #カジュアルコーデ ","[('こんな細く見えるtシャツに出会ったの初めてですわい', 0.8696), ('カジュアルコーデ', 0.7139), ('夏コーデ', 0.688)]",False
"夏の定番コーデだけどそのままだと垢抜けない！

#croisiere #クロジエール #大人カジュアル #甘めカジュアル #綺麗めカジュアル #カジュアルコーデ #垢抜けコーデ #淡色コーデ #デニムコーデ #ワイドデニム #ワイドパンツ #シアーシャツ #体型カバー #着痩せコーデ #tシャツコーデ #158cmコーデ #ブルベ夏 #骨格ストレート ","[('夏の定番コーデだけどそのままだと垢抜けない', 0.6403), ('ブルベ夏', 0.5808), ('カジュアルコーデ', 0.5288)]",False
"大バズり中の""大人オールインワン""❤️

楽ちんだしベタつかないし、なにより可愛い✨

ぜひチェックして〜♡

#プチプラコーデ #大人カジュアル #大人女子 #夏コーデ ","[('大人オールインワン', 0.7647), ('なにより可愛い', 0.6113), ('大バズり中の', 0.5515)]",False
"ユニクロTシャツ紹介【大バズり中】1500円とコスパ最強！種類がたくさん！

この夏のみんなの味方！
ユニクロTシャツが今年もすごい！コスパ最強・カラーも豊富

限定価格で販売もしてるからぜひ店頭やwebでチェックしてみてね

@ユニクロ【公式】 

#ユニクロ #uniqlo #tシャツ #プチプラ　#カジュアルコーデ ","[('ユニクロtシャツが今年もすごい', 0.6525), ('この夏のみんなの味方', 0.6291), ('1500円とコスパ最強', 0.6186)]",False
"人気のTシャツ‎

サイズ選びって難しくない？？
ラインを隠すために大きめを選ぶのか、
スッキリ見えるように小さめ選ぶのか、、
そんなサイズ選びに悩んだ時は
これを参考にして

服は着方が大事◎
誰が着ても似合うように
着こなしをお伝えできるように頑張ります

＼着用しているアイテムの見方／
プロフィールのリンクを開く
↓
スクロールするとコーデが沢山でてくるから気になってるものを開いてね‎

コメントでも気軽に聞いてください‍♀️✨️

#discoat #大人カジュアル #大人カジュアルコーデ #夏コーデ #着痩せコーデ #着回しコーデ #スカート","[('スッキリ見えるように小さめ選ぶのか', 0.2122), ('サイズ選びって難しくない', 0.206), ('スクロールするとコーデが沢山でてくるから気になってるものを開いてね', 0.1644)]",False
"マネキンコーデ着てみた‍♀️✨️

いつもはモデルコーデやけどマネキン着てみた◎
マネキンで見たら可愛いけど着たら
私にはバランスが、、って言うことない？？
良かったら参考にしてね❣️

デニムだけL履いてるけど
他は全てMサイズです◎

-----------コーデの見方----------

プロフィールのリンクを開く
↓
ブログをタップ(開いたページを少しスクロールすると出てくるよ)
↓

タイトルは
★第1弾★モデルさんのコーデ着てみた！
↓
ここから買い物ができるよ！

#discoat #大人カジュアル #大人カジュアルコーデ #着痩せコーデ #夏コーデ ","[('マネキンで見たら可愛いけど着たら', 0.4943), ('モデルさんのコーデ着てみた', 0.3649), ('ここから買い物ができるよ', 0.3612)]",False
"お洒落な先輩とご飯の時はいつもより気合いが入る✊

#夏コーデ #夏ファッション #summeroutfit #骨格ウェーブ #骨格ストレート #ZOZOTOWN #GRL#垢抜け#夏服#155cm","[('夏コーデ', 0.6501), ('夏服', 0.6372), ('夏ファッション', 0.5876)]",False
"ZARAで買ったデート服3選 

#CapCut #ZARA購入品 #今日のコーデ #zara購入品#zaraコーデ#プチプラコーデ#コーディネー#ootd#着回しコーデ#zaraしか勝たん#おすすめ","[('zaraで買ったデート服3選', 0.7275), ('zaraコーデ', 0.6877), ('zaraしか勝たん', 0.6402)]",False
"ZARA 【夏服紹介 2025】part2 
大人かわいい・お姉さんコーデ

ZARAの新作が可愛すぎる！ノースリーブからワンピースまで！

みんなもチェックしてみて！
@ZARA 

#ザラ #zara #夏コーデ #大人可愛い ","[('zaraの新作が可愛すぎる', 0.6435), ('夏服紹介', 0.6129), ('夏コーデ', 0.5897)]",False
"ZARAのセール本日（6月26日）からスタート‼️
可愛すぎるトップスゲットした
みんなもZARAにダッシュー‼️

#ZARA #セール #夏服 #夏コーデ #韓国コーデ #カジュアルコーデ #outfit #fashiontok #ootd #おすすめ #fyp ","[('zaraのセール本日', 0.6913), ('夏コーデ', 0.6047), ('カジュアルコーデ', 0.5507)]",False
"着痩せ命の骨スト✊ZARAセール購入品3点着てみた❣️どれが好きですか〜？

#zara#zaraコーデ#骨ストコーデ #olコーデ #きれいめコーデ #オフィスカジュアル #オフィスコーデ","[('zaraコーデ', 0.7316), ('オフィスコーデ', 0.6841), ('olコーデ', 0.679)]",False
"#zara で大当たりだったベストコーデ4つ
⠀ ⠀ ⠀
⠀ ⠀ ⠀
#zara購入品 #春コーデ #骨格ストレート ","[('で大当たりだったベストコーデ4つ', 0.7715), ('骨格ストレート', 0.6897), ('zara購入品', 0.5302)]",False
今年のZARA無双してる。,"[('今年のzara無双してる', 0.9885)]",False
"ZARA 【夏服紹介2025】
大人気シリーズ第3弾！ワンピース〜ニットトップまで紹介！
　
夏のお出かけやデートに！

ZARAの夏服は種類ありすぎて困る！という方に！
ぜひ参考にしてみてね

@ZARA 

#ザラ #zara #夏服 #大人可愛い #夏コーデ ","[('zaraの夏服は種類ありすぎて困る', 0.777), ('夏服紹介2025', 0.7433), ('夏服', 0.6745)]",True
"お久しぶりにZARAで買い物した
#ぽっちゃり #ぽっちゃり女子 #プチプラ #プチプラファッション #ぽっちゃりコーデ #zara #zaraコーデ #zara購入品 ","[('お久しぶりにzaraで買い物した', 0.659), ('プチプラファッション', 0.6053), ('zara購入品', 0.6046)]",False
ZARA購入品‎私も二の腕コンプだけどこのワンピースなら細見え確実#zara #春服#綺麗めコーデ #女子大生#骨スト ,"[('私も二の腕コンプだけどこのワンピースなら細見え確実', 0.7583), ('zara購入品', 0.6324), ('綺麗めコーデ', 0.5954)]",False
"このジャケット可愛い

ジャケットで大人カジュアルコーデ

@ZARA 

️フラップクロップドジャケット

#zara #zaraコーデ #ザラ #zara購入品 #ジャケットコーデ #冬コーデ #デニムコーデ #おすすめ #ootd #fashion ","[('ジャケットコーデ', 0.7202), ('このジャケット可愛い', 0.7114), ('ジャケットで大人カジュアルコーデ', 0.6947)]",False
"またしてもザラパトロールモードでかっこよく着こなせるお洋服多かった！大人のディナーデートの服を探してる人必見

#zaraコーデ #ザラ #zara新作#おすすめにのりたい #おすすめコーデ #秋コーデ先取り #秋服コーデ #秋服ファッション #秋服紹介 #コーデ紹介 #シンプルコーデ #fyp #zaraoutfit #zaranewin #ザラジョ #ザラジョコーデ #海外ファッション #海外コーデ #海外女子 #アラサーコーデ ","[('zaraコーデ', 0.4969), ('秋服コーデ', 0.4698), ('秋コーデ先取り', 0.4467)]",False
"ZARA SALE購入品️
2025 サマーセール
店舗で購入してきたよ、店舗よりオンラインのほうがいいのあるきがする
2日目にして、小さいサイズは売り切れ多かった
オンラインでまたお買い物しようと、日々カートに追加中

#ザラセール#zarahaul#ザラ購入品#zaraoutfit#サマーセール#プチプラコーデ  ","[('sale購入品', 0.4933), ('ザラ購入品', 0.4795), ('ザラセール', 0.4662)]",False
簡単お洒落にシャツを着るコツ真似しやすいので是非参考にしてみてください#シャツコーデ #シャツアレンジ #インすら方法#低身長#骨格ストレート,"[('簡単お洒落にシャツを着るコツ真似しやすいので是非参考にしてみてください', 0.8845), ('シャツコーデ', 0.7067), ('シャツアレンジ', 0.6871)]",False
どのタイプが好き?#dazzlin #ファッション #夏コーデ #骨格ストレート,"[('どのタイプが好き', 0.7969), ('骨格ストレート', 0.7308), ('ファッション', 0.6041)]",False
"【#40代オシャレの教科書 】

おばさんに見えてしまう夏服3選‍♀️

#sawaalamode #サワアラモード #40代コーデ #40代 #40代ファッション #オバコーデ#脱オバ#おば見え ","[('40代オシャレの教科書', 0.725), ('40代ファッション', 0.6028), ('おばさんに見えてしまう夏服3選', 0.5908)]",False
"色んな系統のコーデがしたい子の参考になるといいな

#多系統 #多系統コーデ  #毎日コーデ  #参考コーデ 
#海外ファッション #韓国ファッション #海外スタイル #ガーリーコーデ #メンズライク #綺麗めカジュアル #ミニボブ #ミニボブアレンジ #ママコーデ #デートコーデ #大人っぽコーデ #ストリートファッション #韓スト ","[('ストリートファッション', 0.6189), ('デートコーデ', 0.5874), ('ガーリーコーデ', 0.5827)]",False
"ベルトって大事ですよね
シンプルコーデが多い方にはとってもおすすめなリバーシブルベルト✨
めちゃめちゃ使えます...‍↕️
#大人カジュアル #秋コーデ #骨格ウェーブ #ベルト ","[('ベルトって大事ですよね', 0.8384), ('シンプルコーデが多い方にはとってもおすすめなリバーシブルベルト', 0.6924), ('ベルト', 0.6535)]",False
"夏の垢抜けコーデ３選！
#大人カジュアル #アラサー女子 #着回しコーデ #きれいめカジュアル ","[('夏の垢抜けコーデ３選', 0.736), ('アラサー女子', 0.6459), ('きれいめカジュアル', 0.626)]",False
"簡単そうで何だか垢抜けない、シャツの着方

#globalwork #グローバルワーク #ママコーデ #ママファッション #ママスタッフ #スタッフコーデ  #主婦コーデ #30代コーデ #アラフォーコーデ #40代コーデ  #大人可愛いコーデ #小学生ママ #着痩せコーデ #着痩せテク #着痩せ #体型カバーコーデ  #運動会コーデ #公園コーデ #着回したコーデ #着回し術 #シャツコーデ #垢抜けコーデ #シャツの着方","[('公園コーデ', 0.5829), ('シャツコーデ', 0.5608), ('体型カバーコーデ', 0.5594)]",False
"こんなコーデはどう？
#キャミワンピ #キャミワンピース #シアートップス #低身長コーデ ","[('キャミワンピース', 0.801), ('こんなコーデはどう', 0.7705), ('低身長コーデ', 0.7299)]",False
"【今1番売れてるジャケット☝️】

発売してすぐに完売したカラーも！
WEB限定の大人気ジャケット！

全色着回してみました〜！！

二の腕と腰回りをカバーしてくれて
メッシュ素材だから夏でも着れるジャケット！

ボタンがないのでシャツ感覚で着れる

使いやすいカラー展開なので
どの色を購入しても間違いなし！

是非チェックしてみてください〜

#大人カジュアル #アラサー女子 #骨格ウェーブ #着回しコーデ #着回し#夏コーデ","[('メッシュ素材だから夏でも着れるジャケット', 0.6466), ('web限定の大人気ジャケット', 0.6123), ('今1番売れてるジャケット', 0.5502)]",False
"【このまま着ちゃうと、、、】

①デニムジャケット
¥20.900（税込）

②メランジルーズニット
¥14,300（税込）

③シアースラブオーバージャケット
¥28,600（税込）

ベースアイテムは
⚪️2WAYリブタンクワンピース
¥14,300（税込）

春夏ワンピース着たいけど
袖がないものも多いし
袖あっても二の腕がパンパンになったり、、
いつも同じもの着てると思われるのもいやだし
なんかいいのないかなぁ、、

って、思ったことありませんか？？？

私は思います(笑)
タンクワンピースをそのまま着るのは抵抗あるけど
他のアイテムと合わせることで
痩せ見えまできるなら
どうせ一枚ではワンピースを着られない身としては
相性の良いアイテムがあるならそれとセットで
用意しておきたい！！！！！

暑さは急にやって来ます
急に暑くて着る物がない！！！なんてことにならないように
人気のアイテムはお早めにゲットしてくださいね✌︎

#骨格ストレート#低身長#ぽっちゃり","[('いつも同じもの着てると思われるのもいやだし', 0.2019), ('相性の良いアイテムがあるならそれとセットで', 0.1939), ('人気のアイテムはお早めにゲットしてくださいね', 0.1886)]",False
#るだけで痩せる服、教えます#cenea #zozo #zozotown #ファッション #コーデ #夏コーデ #プチプラ #骨格ストレート #骨格ウェーブ #lookbook #ootd,"[('骨格ウェーブ', 0.586), ('骨格ストレート', 0.5664), ('るだけで痩せる服', 0.5217)]",False
"cocaで夏コーデ
#アラフィフ #アラフィフママ ","[('cocaで夏コーデ', 0.8235), ('アラフィフママ', 0.6992), ('アラフィフ', 0.6115)]",False
"ZOZOTOWNでオープンした「mipiarl」プチプラなのに可愛すぎる。

#プチプラコーデ #ZOZOTOWN #zozotown購入品 #着回し #デートコーデ #着回しコーデ #モテコーデ ","[('zozotownでオープンした', 0.7963), ('zozotown購入品', 0.6666), ('プチプラなのに可愛すぎる', 0.627)]",False
この組み合わせしたらセンス良くなれます！✨#メンズファッション #プチプラ #お洒落コーデ #モテコーデ #春コーデ ,"[('この組み合わせしたらセンス良くなれます', 0.6787), ('メンズファッション', 0.6724), ('春コーデ', 0.6271)]",False
"お団子にスキニーと合わせてブラックコーデ、綺麗でカジュアルなコーディネートにした

下に長めのTOPS着てレイヤーコーデもおすすめ

COCA ギャザードジャケット ¥2,990
.
.
#coca#cocaコーデ#プチプラコーデ#カジュアルコーデ#春コーデ#春アウター#入学式コーデ#ママコーデ#大人可愛いコーデ#お団子ヘア#marryme#結婚#ブラウスコーデ ","[('cocaコーデ', 0.576), ('大人可愛いコーデ', 0.5408), ('お団子にスキニーと合わせてブラックコーデ', 0.5058)]",False
"前後2wayで楽しめるプチプラブラウス♡
@ClassicalElf  クラシカルエルフ 
#zozotown購入品 #プチプラコーデおすすめ #春ファッション #春コーディネート #プチプラコーデ #classicalelf #プチプラファッション #春服 #ママコーデ #milybilet #ミウィビレット ","[('プチプラコーデおすすめ', 0.6929), ('春ファッション', 0.6785), ('前後2wayで楽しめるプチプラブラウス', 0.6706)]",False
夏服迷ったら参考にしてねお洋服の質問はコメント欄へ、#プチプラコーデ#低身長コーデ#夏コーデ,"[('夏服迷ったら参考にしてねお洋服の質問はコメント欄へ', 0.8423), ('夏コーデ', 0.7267), ('低身長コーデ', 0.6365)]",False
